ticker,start_date_actual,start_price,end_date_actual,end_price,raw_return,normal_return_spy,excess_return,cluster,CAR,MaxDrawdown,Volatility,label
KOPN,2025-01-27,1.86,2025-02-10,1.78,-0.043010752688172116,0.009142900901601747,-0.05215365358977386,1,-0.10690310193050523,-0.11827956989247324,0.06236595061896853,Vulnerable
KSCP,2025-01-27,10.17,2025-02-10,10.45,0.027531956735496577,0.009142900901601747,0.01838905583389483,1,-0.0627990986697311,-0.0873362445414847,0.057135140921402865,Vulnerable
KULR,2025-01-27,17.6,2025-02-10,20.8,0.18181818181818166,0.009142900901601747,0.1726752809165799,1,0.10732780446258028,-0.09090909090909094,0.1023048782689398,Vulnerable
KVYO,2025-01-27,43.32,2025-02-10,49.19,0.13550323176361956,0.009142900901601747,0.1263603308620178,1,0.128070074369397,-0.0339436329973255,0.026828192451251433,Vulnerable
LAES,2025-01-27,3.99,2025-02-10,4.33,0.08521303258145352,0.009142900901601747,0.07607013167985177,1,0.054618634818153544,-0.2506265664160402,0.09539460447794376,Vulnerable
LASR,2025-01-27,11.245,2025-02-10,11.05,-0.01734104046242757,0.009142900901601747,-0.026483941364029318,1,-0.06176086732393826,-0.04833040421792589,0.024632743680966792,Vulnerable
LAW,2025-01-27,4.97,2025-02-10,5.25,0.05633802816901423,0.009142900901601747,0.047195127267412484,1,0.08012290900189178,-0.07366482504604044,0.03532972580394322,Vulnerable
LDOS,2025-01-27,146.5977,2025-02-10,140.979,-0.03832734074272648,0.009142900901601747,-0.047470241644328226,1,-0.013173823732318568,-0.05516662266870487,0.017291366608408514,Vulnerable
LEDS,2025-01-27,1.53,2025-02-10,1.58,0.03267973856209161,0.009142900901601747,0.023536837660489862,1,-0.06853129128027224,-0.07692307692307698,0.04655049475788523,Vulnerable
LIF,2025-01-27,46.23,2025-02-10,45.19,-0.02249621457927753,0.009142900901601747,-0.031639115480879276,1,-0.03792772957132473,-0.10104821802935027,0.03283786585456502,Vulnerable
LITE,2025-01-27,74.17,2025-02-10,81.93,0.10462451125792116,0.009142900901601747,0.09548161035631941,1,-0.11058145433000299,-0.11589511168662991,0.08282349103666053,Vulnerable
LOGC,2025-01-27,7.15,2025-02-10,7.77,0.08671328671328671,0.009142900901601747,0.07757038581168496,1,0.10228778123177074,-0.03500000000000003,0.023002025244154175,Vulnerable
